dir_name;link
acl;http://download.savannah.gnu.org/releases/acl/acl-2.2.53.tar.gz
attr;http://download.savannah.gnu.org/releases/attr/attr-2.4.48.tar.gz
autoconf;http://ftp.gnu.org/gnu/autoconf/autoconf-2.71.tar.xz
automake;http://ftp.gnu.org/gnu/automake/automake-1.16.3.tar.xz
bash;http://ftp.gnu.org/gnu/bash/bash-5.1.tar.gz
bc;https://github.com/gavinhoward/bc/releases/download/3.3.0/bc-3.3.0.tar.xz
binutils;http://ftp.gnu.org/gnu/binutils/binutils-2.36.1.tar.xz
bison;http://ftp.gnu.org/gnu/bison/bison-3.7.5.tar.xz
bzip;https://www.sourceware.org/pub/bzip2/bzip2-1.0.8.tar.gz
check;https://github.com/libcheck/check/releases/download/0.15.2/check-0.15.2.tar.gz
coreutils;http://ftp.gnu.org/gnu/coreutils/coreutils-8.32.tar.xz
dbus;https://dbus.freedesktop.org/releases/dbus/dbus-1.12.20.tar.gz
dejagnu;http://ftp.gnu.org/gnu/dejagnu/dejagnu-1.6.2.tar.gz
diffutils;http://ftp.gnu.org/gnu/diffutils/diffutils-3.7.tar.xz
e2fsprogs;https://downloads.sourceforge.net/project/e2fsprogs/e2fsprogs/v1.46.1/e2fsprogs-1.46.1.tar.gz
elfutils;https://sourceware.org/ftp/elfutils/0.183/elfutils-0.183.tar.bz2
eudev;https://dev.gentoo.org/~blueness/eudev/eudev-3.2.10.tar.gz
expat;https://prdownloads.sourceforge.net/expat/expat-2.4.1.tar.xz
expect;https://prdownloads.sourceforge.net/expect/expect5.45.4.tar.gz
file;http://ftp.astron.com/pub/file/file-5.39.tar.gz
findutils;http://ftp.gnu.org/gnu/findutils/findutils-4.8.0.tar.xz
flex;https://github.com/westes/flex/releases/download/v2.6.4/flex-2.6.4.tar.gz
gawk;http://ftp.gnu.org/gnu/gawk/gawk-5.1.0.tar.xz
gcc;http://ftp.gnu.org/gnu/gcc/gcc-10.2.0/gcc-10.2.0.tar.xz
gdbm;http://ftp.gnu.org/gnu/gdbm/gdbm-1.19.tar.gz
gettext;http://ftp.gnu.org/gnu/gettext/gettext-0.21.tar.xz
glibc;http://ftp.gnu.org/gnu/glibc/glibc-2.33.tar.xz
gmp;http://ftp.gnu.org/gnu/gmp/gmp-6.2.1.tar.xz
gperf;http://ftp.gnu.org/gnu/gperf/gperf-3.1.tar.gz
grep;http://ftp.gnu.org/gnu/grep/grep-3.6.tar.xz
groff;http://ftp.gnu.org/gnu/groff/groff-1.22.4.tar.gz
grub;https://ftp.gnu.org/gnu/grub/grub-2.04.tar.xz
gzip;http://ftp.gnu.org/gnu/gzip/gzip-1.10.tar.xz
iana;https://github.com/Mic92/iana-etc/releases/download/20210202/iana-etc-20210202.tar.gz
inetuils;http://ftp.gnu.org/gnu/inetutils/inetutils-2.0.tar.xz
intltool;https://launchpad.net/intltool/trunk/0.51.0/+download/intltool-0.51.0.tar.gz
iproute;https://www.kernel.org/pub/linux/utils/net/iproute2/iproute2-5.10.0.tar.xz
kbd;https://www.kernel.org/pub/linux/utils/kbd/kbd-2.4.0.tar.xz
kmod;https://www.kernel.org/pub/linux/utils/kernel/kmod/kmod-28.tar.xz
less;http://www.greenwoodsoftware.com/less/less-563.tar.gz
lfs-bootscripts;http://www.linuxfromscratch.org/lfs/downloads/10.1/lfs-bootscripts-20210201.tar.xz
libcap;https://www.kernel.org/pub/linux/libs/security/linux-privs/libcap2/libcap-2.48.tar.xz
libffi;https://sourceware.org/pub/libffi/libffi-3.3.tar.gz
libpipeline;http://download.savannah.gnu.org/releases/libpipeline/libpipeline-1.5.3.tar.gz
libtool;http://ftp.gnu.org/gnu/libtool/libtool-2.4.6.tar.xz
kernel;https://www.kernel.org/pub/linux/kernel/v5.x/linux-5.10.17.tar.xz
m4;http://ftp.gnu.org/gnu/m4/m4-1.4.18.tar.xz
make;http://ftp.gnu.org/gnu/make/make-4.3.tar.gz
man;http://download.savannah.gnu.org/releases/man-db/man-db-2.9.4.tar.xz
man-pages;https://www.kernel.org/pub/linux/docs/man-pages/man-pages-5.10.tar.xz
meson;https://github.com/mesonbuild/meson/releases/download/0.57.1/meson-0.57.1.tar.gz
mpc;https://ftp.gnu.org/gnu/mpc/mpc-1.2.1.tar.gz
mpfr;http://www.mpfr.org/mpfr-4.1.0/mpfr-4.1.0.tar.xz
ncurses;http://ftp.gnu.org/gnu/ncurses/ncurses-6.2.tar.gz
ninja;https://github.com/ninja-build/ninja/archive/v1.10.2/ninja-1.10.2.tar.gz
openssl;https://www.openssl.org/source/openssl-1.1.1j.tar.gz
patch;http://ftp.gnu.org/gnu/patch/patch-2.7.6.tar.xz
perl;https://www.cpan.org/src/5.0/perl-5.32.1.tar.xz
pkg-config;https://pkg-config.freedesktop.org/releases/pkg-config-0.29.2.tar.gz
procps-ng;https://sourceforge.net/projects/procps-ng/files/Production/procps-ng-3.3.17.tar.xz
psmisc;https://sourceforge.net/projects/psmisc/files/psmisc/psmisc-23.4.tar.xz
python;https://www.python.org/ftp/python/3.9.2/Python-3.9.2.tar.xz
python-docs;https://www.python.org/ftp/python/doc/3.9.2/python-3.9.2-docs-html.tar.bz2
readline;http://ftp.gnu.org/gnu/readline/readline-8.1.tar.gz
sed;http://ftp.gnu.org/gnu/sed/sed-4.8.tar.xz
shadow;https://github.com/shadow-maint/shadow/releases/download/4.8.1/shadow-4.8.1.tar.xz
sysklogd;http://www.infodrom.org/projects/sysklogd/download/sysklogd-1.5.1.tar.gz
systemd;https://github.com/systemd/systemd/archive/v247/systemd-247.tar.gz
systemd-man;http://anduin.linuxfromscratch.org/LFS/systemd-man-pages-247.tar.xz
sysvinit;http://download.savannah.gnu.org/releases/sysvinit/sysvinit-2.98.tar.xz
tar;http://ftp.gnu.org/gnu/tar/tar-1.34.tar.xz
tcl;https://downloads.sourceforge.net/tcl/tcl8.6.11-src.tar.gz
tcl-man;https://downloads.sourceforge.net/tcl/tcl8.6.11-html.tar.gz
texinfo;http://ftp.gnu.org/gnu/texinfo/texinfo-6.7.tar.xz
time-zones;https://www.iana.org/time-zones/repository/releases/tzdata2021a.tar.gz
udev;http://anduin.linuxfromscratch.org/LFS/udev-lfs-20171102.tar.xz
util-linux;https://www.kernel.org/pub/linux/utils/util-linux/v2.36/util-linux-2.36.2.tar.xz
vim;http://anduin.linuxfromscratch.org/LFS/vim-8.2.2433.tar.gz
xml-parser;https://cpan.metacpan.org/authors/id/T/TO/TODDR/XML-Parser-2.46.tar.gz
xz;https://tukaani.org/xz/xz-5.2.5.tar.xz
zlib;https://zlib.net/zlib-1.2.11.tar.xz
zstd;https://github.com/facebook/zstd/releases/download/v1.4.8/zstd-1.4.8.tar.gz
bzip-patch;http://www.linuxfromscratch.org/patches/lfs/10.1/bzip2-1.0.8-install_docs-1.patch
coreutils-patch;http://www.linuxfromscratch.org/patches/lfs/10.1/coreutils-8.32-i18n-1.patch
glibc-patch;http://www.linuxfromscratch.org/patches/lfs/10.1/glibc-2.33-fhs-1.patch
kpd-patch;http://www.linuxfromscratch.org/patches/lfs/10.1/kbd-2.4.0-backspace-1.patch
sysvenit-patyh;http://www.linuxfromscratch.org/patches/lfs/10.1/sysvinit-2.98-consolidated-1.patch
systemd-patch;http://www.linuxfromscratch.org/patches/lfs/10.1/systemd-247-upstream_fixes-1.patch
