name;min_version;command;version_regex_pattern
autoconf;2.71
automake;1.16.3
bash;5.1
bc;3.3.0
binutils;2.36.1
bison;3.7.5
e2fsprogs;1.46.1
eudev;3.2.10
expat;2.2.10
findutils;4.8.0
gdbm;1.19
glibc;2.33
gmp;6.2.1
grep;3.6
iana-etc;20210202
inetutils;2.0
iproute2;5.10.0
kbd;2.4.0
kmod;28
less;563
libcap;2.48
libelf;0.183
linux;5.10.17
man-db;2.9.4
man-pages;5.10
meson;0.57.1
mpc;1.2.1
ninja;1.10.2
openssl;1.1.1j
perl;5.32.1
procps-ng;3.3.17
psmisc;23.4
python;3.9.2
sysvinit;2.98
tar;1.34
tcl;8.6.11
tzdata;2021a
util-linux;2.36.2
vim;8.2.2433
Zstd;1.4.8
